city,latitude,longitude,temperature_unit,windspeed_unit,time,temperature,windspeed
Delhi,28.625,77.25,°C,km/h,2025-04-23T10:15,38.1,11.6
Mumbai,19.125,72.875,°C,km/h,2025-04-23T10:15,31.9,13.0
Kolkāta,22.625,88.375,°C,km/h,2025-04-23T10:15,36.1,12.1
Bangalore,13.0,77.625,°C,km/h,2025-04-23T10:15,33.8,10.8
Chennai,13.0,80.125,°C,km/h,2025-04-23T10:15,34.8,11.7
Hyderābād,17.375,78.5,°C,km/h,2025-04-23T10:15,38.4,3.7
Pune,18.625,74.0,°C,km/h,2025-04-23T10:15,39.5,8.5
Ahmedabad,23.0,72.625,°C,km/h,2025-04-23T10:15,42.0,9.7
Sūrat,21.125,72.875,°C,km/h,2025-04-23T10:15,36.2,13.4
Lucknow,26.875,81.0,°C,km/h,2025-04-23T10:15,40.8,15.4
Jaipur,26.875,75.75,°C,km/h,2025-04-23T10:15,39.3,13.5
Kanpur,26.5,80.375,°C,km/h,2025-04-23T10:15,40.6,14.0
Mirzāpur,25.125,82.625,°C,km/h,2025-04-23T10:15,41.7,17.8
Nāgpur,21.125,79.125,°C,km/h,2025-04-23T10:15,41.8,7.1
Ghāziābād,28.625,77.375,°C,km/h,2025-04-23T10:15,38.0,13.4
Supaul,26.125,86.625,°C,km/h,2025-04-23T10:15,37.8,13.1
Vadodara,22.25,73.25,°C,km/h,2025-04-23T10:15,42.4,10.4
Rājkot,22.25,70.75,°C,km/h,2025-04-23T10:15,41.5,10.0
Vishākhapatnam,17.625,83.25,°C,km/h,2025-04-23T10:15,31.9,13.7
Indore,22.75,75.875,°C,km/h,2025-04-23T10:15,39.8,11.6
Thāne,19.25,73.0,°C,km/h,2025-04-23T10:15,36.0,13.7
Bhopāl,23.25,77.375,°C,km/h,2025-04-23T10:15,41.0,12.0
Pimpri-Chinchwad,18.625,73.75,°C,km/h,2025-04-23T10:15,36.7,15.8
Patna,25.625,85.125,°C,km/h,2025-04-23T10:15,41.1,16.6
Bilāspur,22.125,82.125,°C,km/h,2025-04-23T10:15,43.2,10.2
Ludhiāna,30.875,75.875,°C,km/h,2025-04-23T10:15,39.1,10.7
Āgra,27.125,78.0,°C,km/h,2025-04-23T10:15,39.5,10.9
Madurai,9.875,78.125,°C,km/h,2025-04-23T10:15,37.0,11.2
Jamshedpur,22.75,86.125,°C,km/h,2025-04-23T10:15,41.8,6.0
Prayagraj,25.375,81.875,°C,km/h,2025-04-23T10:15,40.6,14.0
Nāsik,20.0,73.75,°C,km/h,2025-04-23T10:15,38.3,16.4
